ICD10,ICD9
H4042X3,36573
H4042X4,36574
H4043X2,36572
H4043X3,36573
H4043X4,36574
H4050X0,36561
H4050X1,36561
H4051X0,36561
H4051X1,36561
H4052X0,36561
H4052X1,36561
H4053X0,36561
H4053X1,36561
H4060X0,3657
H4060X1,36571
H4060X2,36531
H4060X3,36531
H4060X4,36531
H4061X0,3657
H4061X1,36571
H4061X2,36531
H4061X3,36531
H4061X4,36531
H4062X0,3657
H4062X1,36571
H4062X2,36531
H4062X3,36531
H4062X4,36531
H4063X0,3657
H4063X1,36571
H4063X2,36531
H4063X3,36531
H4063X4,36531
H44001,36003
H44002,36003
H44003,36003
H44009,36003
H47291,37715
H47292,37715
H47293,37715
H47299,37715
H5441,36969
H5442,36969
H579,V411
H65111,38104
H65112,38104
H65113,38104
H65114,38104
H65115,38104
H65116,38104
H65117,38104
H65119,38104
H7401,38502
H7402,38502
H7403,38502
H7409,38502
H7411,38512
H7412,38512
H7413,38512
H8101,38602
H8102,38602
H8103,38602
H8109,38602
H8301,38632
H8302,38632
H8303,38632
H8309,38632
H8311,38642
H8312,38642
H8313,38642
H8319,38642
H832X1,38653
H832X2,38653
H832X3,38654
H832X9,38652
H900,38903
H9011,38903
H9012,38903
H903,38914
H9041,38915
H9042,38915
H905,38916
H9311,38832
H9312,38832
H9313,38832
H9319,38832
I080,3962
I10,4019
I110,40291
I119,4029
I120,40391
I129,4039
I130,40491
I1310,4049
I1311,40492
I132,40493
I150,40591
I158,40599
I2129,41081
I221,41041
I228,41081
I25790,4111
I25791,4139
I25798,4139
I25799,4139
I452,42653
I5020,428
I5021,428
I5022,428
I5023,428
I5030,428
I5031,428
I5032,428
I5033,428
I5040,428
I5041,428
I5042,428
I5043,428
I5189,42989
I6359,43491
I6601,4349
I6602,4349
I6603,4349
I6609,4349
I6611,4349
I6612,4349
I6613,4349
I6619,4349
I6621,4349
I6622,4349
I6623,4349
I6629,4349
I663,4349
I6789,4378
I69998,43889
I728,44289
I97110,4294
I97111,4294
I97120,4294
I97121,4294
I97130,4294
I97131,4294
I97190,4294
I97191,4294
J050,4644
J09X9,48889
J17,5171
J392,47829
J449,496
K033,52142
K122,682
K228,53089
K5281,55841
K5740,5695
K5741,5695
K640,4552
K641,4552
K642,4552
K643,4552
K648,4552
K7291,5722
L03011,68102
L03012,68102
L03019,68102
L03039,6819
L03119,6826
L03129,6826
L518,69519
L8940,70704
L8941,70704
L8942,70704
L8943,70704
L8944,70704
L8945,70704
M00019,411
M00029,411
M00039,71103
M00049,411
M00059,411
M00069,411
M00079,411
M0008,411
M0009,411
M0020,4109
M00219,4109
M00229,4109
M00239,4109
M00249,4109
M00259,4109
M00269,4109
M00279,4109
M0028,4109
M0029,4109
M0080,4189
M00819,4189
M00829,4189
M00839,4189
M00849,4189
M00859,4189
M00869,4189
M00879,4189
M0088,4189
M0089,4189
M01X0,7116
M01X11,71161
M01X12,71161
M01X19,71161
M01X21,71162
M01X22,71162
M01X29,71162
M01X31,71163
M01X32,71163
M01X39,71163
M01X41,71164
M01X42,71164
M01X49,71164
M01X51,71165
M01X52,71165
M01X59,71165
M01X61,71166
M01X62,71166
M01X69,71166
M01X71,71167
M01X72,71167
M01X79,71167
M01X8,71168
M01X9,71169
M02211,7136
M02212,7136
M02219,7136
M02221,7136
M02222,7136
M02229,7136
M02231,7136
M02232,7136
M02239,7136
M02241,7136
M02242,7136
M02249,7136
M02251,7136
M02252,7136
M02259,7136
M02261,7136
M02262,7136
M02269,7136
M02271,7136
M02272,7136
M02279,7136
M0228,7136
M0229,7136
M0280,7118
M02811,71181
M02812,71181
M02819,71181
M02821,71182
M02822,71182
M02829,71182
M02831,71183
M02832,71183
M02839,71183
M02841,71184
M02842,71184
M02849,71184
M02851,71185
M02852,71185
M02859,71185
M02861,71186
M02862,71186
M02869,71186
M02871,71187
M02872,71187
M02879,71187
M0288,71188
M0289,71189
M2430,71829
M2450,71849
M310,44629
M352,7112
M438X9,7378
M533,72479
M818,73309
M8440XD,V5427
M869,7309
M961,72282
N059,5839
N111,59001
N132,5921
N139,59969
N3081,59589
N3289,59689
N508,60886
N8501,62134
N898,6236
N9489,629
O0941,V233
O0942,V233
O0943,V233
O09511,V2381
O09512,V2381
O09513,V2381
O09521,V2382
O09522,V2382
O09523,V2382
O111,64271
O112,64271
O113,64271
O1201,64613
O1202,64613
O1203,64613
O1221,64613
O1222,64613
O1223,64613
O131,64233
O132,64233
O133,64233
O1402,64243
O1403,64243
O1412,64253
O1413,64253
O1422,64253
O1423,64253
O152,64272
O161,64294
O162,64294
O163,64294
O2211,67113
O2212,67113
O2213,67113
O2391,64663
O2392,64663
O2393,64663
O2651,66923
O2652,66923
O2653,66923
O26821,64643
O26822,64643
O26823,64643
O26831,64623
O26832,64623
O26833,64623
O26841,64963
O26842,64963
O26843,64963
O26891,64683
O26892,64683
O26893,64683
O30001,V9100
O30002,V9100
O30003,V9100
O30011,V9101
O30012,V9101
O30013,V9101
O30031,V9102
O30032,V9102
O30033,V9102
O30041,V9103
O30042,V9103
O30043,V9103
O30091,V9109
O30092,V9109
O30093,V9109
O30101,65111
O30102,65111
O30103,65111
O30109,V9110
O30111,V9111
O30112,V9111
O30113,V9111
O30121,V9112
O30122,V9112
O30123,V9112
O30191,V9119
O30192,V9119
O30193,V9119
O30201,65121
O30202,65121
O30203,65121
O30209,V9120
O30211,V9121
O30212,V9121
O30213,V9121
O30221,V9122
O30222,V9122
O30223,V9122
O30291,V9129
O30292,V9129
O30293,V9129
O30801,65181
O30802,65181
O30803,65181
O30809,V9190
O30811,V9191
O30812,V9191
O30813,V9191
O30821,V9192
O30822,V9192
O30823,V9192
O30891,V9199
O30892,V9199
O30893,V9199
O3111X0,65161
O3111X1,65161
O3111X2,65161
O3112X0,65161
O3112X1,65161
O3112X2,65161
O3113X0,65161
O3113X1,65161
O3113X2,65161
O3121X0,65161
O3121X1,65161
O3121X2,65161
O3122X0,65161
O3122X1,65161
O3122X2,65161
O3123X0,65161
O3123X1,65161
O3123X2,65161
O321XX0,65223
O321XX1,65223
O321XX2,65223
O321XX3,65223
O321XX4,65223
O321XX5,65223
O321XX9,65223
O329XX0,65293
O329XX1,65293
O329XX2,65293
O329XX3,65293
O329XX4,65293
O329XX5,65293
O329XX9,65293
O330,65301
O3401,65403
O3402,65403
O3403,65403
O3411,65413
O3412,65413
O3413,65413
O3431,65453
O3432,65453
O3433,65453
O3441,65463
O3442,65463
O3443,65463
O34511,65433
O34512,65433
O34513,65433
O34531,65433
O34532,65433
O34533,65433
O34591,65443
O34592,65443
O34593,65443
O3461,65473
O3462,65473
O3463,65473
O3471,65483
O3472,65483
O3473,65483
O3481,65493
O3482,65493
O3483,65493
O3491,65493
O3492,65493
O3493,65493
O357XX0,67912
O357XX1,67912
O357XX2,67912
O357XX3,67912
O357XX4,67912
O357XX5,67912
O357XX9,67912
O358XX0,67801
O358XX1,67801
O358XX2,67801
O358XX3,67801
O358XX4,67801
O358XX5,67801
O358XX9,67801
O659,65491
O717,66571
O7189,66584
O719,66594
O730,66704
O731,66714
O750,66904
O751,66914
O754,66944
O7589,66982
O759,66992
O88811,67383
O88812,67383
O88813,67383
O9089,67444
O9229,67634
P0730,7652
P84,77581
Q103,74369
Q150,74321
Q208,7458
Q212,74569
Q248,74689
Q254,74729
Q369,74912
Q383,75012
Q384,75023
Q6689,75566
Q682,75564
Q688,7569
Q7270,75567
Q740,75556
Q7649,75615
Q798,75689
R0689,7869
R102,78909
R6889,7969
R69,V419
S01302A,87202
S01532A,87362
S01542A,87372
S01552A,87362
S0180XA,87349
S0181XA,87349
S0183XA,87349
S0185XA,87349
S0590XA,9219
S09301A,87264
S09302A,87264
S09309A,87264
S09311A,87264
S09312A,87264
S09313A,87264
S09319A,87264
S09391A,87264
S09392A,87264
S09399A,87264
S098XXA,95901
S0990XA,95901
S149XXA,9579
S15001A,90003
S15002A,90003
S15011A,90003
S15012A,90003
S15019A,90002
S15021A,90003
S15022A,90003
S15029A,90002
S15091A,90003
S15092A,90003
S15099A,90002
S2241XA,80704
S2241XB,80714
S2242XA,80704
S2242XB,80714
S2243XA,80704
S2243XB,80714
S25409A,90142
S25419A,90142
S25429A,90142
S25499A,90142
S31010A,8798
S31020A,8799
S31030A,8798
S31040A,8799
S31050A,8798
S339XXA,8485
S3511XA,90219
S3512XA,90219
S3519XA,90219
S35291A,90222
S35292A,90222
S35298A,90222
S35403A,90249
S35406A,90249
S35413A,90249
S35416A,90249
S35493A,90249
S35496A,90249
S358X1A,90289
S358X8A,90289
S36899A,86804
S40011A,92302
S40012A,92302
S41001A,88002
S41002A,88002
S41009A,88002
S41011A,88002
S41012A,88002
S41019A,88002
S41021A,88012
S41022A,88012
S41029A,88012
S41031A,88002
S41032A,88002
S41039A,88002
S41041A,88012
S41042A,88012
S41049A,88012
S41051A,88002
S41052A,88002
S41059A,88002
S4380XA,8405
S4381XA,8405
S4382XA,8405
S471XXA,92702
S472XXA,92702
S6980XA,9595
S6981XA,9595
S6982XA,9595
S6990XA,9595
S6991XA,9595
S6992XA,9595
S7010XA,9245
S7720XA,929
S85801A,9047
S85802A,9047
S85811A,9047
S85812A,9047
S85819A,9047
S85891A,9047
S85892A,9047
S85899A,9047
T1580XA,9302
T1581XA,9302
T1582XA,9302
T2070XA,9415
T20719A,94151
T2072XA,94153
T2073XA,94154
T2074XA,94155
T2075XA,94156
T2076XA,94157
T2077XA,94158
T2079XA,94159
T2131XA,94241
T2136XA,94255
T2137XA,94255
T2170XA,9425
T2171XA,94241
T2172XA,94253
T2173XA,94254
T2176XA,94255
T2177XA,94255
T2179XA,94259
T22311A,94351
T22312A,94351
T22321A,94352
T22322A,94352
T22331A,94353
T22332A,94353
T22341A,94354
T22342A,94354
T22351A,94355
T22352A,94355
T22361A,94356
T22362A,94356
T22391A,94359
T22392A,94359
T22711A,94351
T22712A,94351
T22721A,94352
T22722A,94352
T22731A,94353
T22732A,94353
T22741A,94354
T22742A,94354
T22751A,94355
T22752A,94355
T22761A,94356
T22762A,94356
T22791A,94359
T22792A,94359
T23301A,9445
T23302A,9445
T23311A,94452
T23312A,94452
T23321A,94451
T23322A,94451
T23331A,94453
T23332A,94453
T23341A,94454
T23342A,94454
T23351A,94455
T23352A,94455
T23361A,94456
T23362A,94456
T23371A,94457
T23372A,94457
T23391A,94458
T23392A,94458
T23701A,9445
T23702A,9445
T23711A,94452
T23712A,94452
T23721A,94451
T23722A,94451
T23731A,94453
T23732A,94453
T23741A,94454
T23742A,94454
T23751A,94455
T23752A,94455
T23761A,94456
T23762A,94456
T23771A,94457
T23772A,94457
T23791A,94458
T23792A,94458
T24301A,9455
T24302A,9455
T24311A,94556
T24312A,94556
T24321A,94555
T24322A,94555
T24331A,94554
T24332A,94554
T24391A,94559
T24392A,94559
T24701A,9455
T24702A,9455
T24711A,94556
T24712A,94556
T24721A,94555
T24722A,94555
T24731A,94554
T24732A,94554
T24791A,94559
T24792A,94559
T25311A,94553
T25312A,94553
T25321A,94552
T25322A,94552
T25331A,94551
T25332A,94551
T25391A,94559
T25392A,94559
T25711A,94553
T25712A,94553
T25721A,94552
T25722A,94552
T25731A,94551
T25732A,94551
T25791A,94559
T25792A,94559
T400X5A,E9352
T400X5S,E9352
T410X1A,9682
T410X2A,E9528
T410X3A,E9620
T410X4A,E9804
T413X1A,E8552
T413X2A,E9500
T413X3A,E9620
T413X4A,E9804
T422X1A,966
T422X2A,966
T422X3A,966
T422X4A,966
T422X5A,99529
T422X5S,9095
T426X1A,9672
T426X2A,9672
T426X3A,9672
T426X4A,9672
T426X5A,99529
T426X5S,9095
T4271XA,9679
T4272XA,9679
T4273XA,9679
T4274XA,9679
T4275XA,99529
T4275XS,9095
T428X1A,E8550
T428X2A,E9504
T428X3A,E9620
T428X4A,E9804
T457X2A,9643
T457X3A,9643
T458X1A,9648
T458X2A,9648
T458X3A,9648
T458X4A,9648
T458X5A,E9337
T458X5S,E9337
T4591XA,9649
T4592XA,9649
T4593XA,9649
T4594XA,9649
T4595XA,99529
T481X1A,E8586
T48201A,9753
T48291A,9753
T502X1A,9744
T502X2A,9744
T502X3A,9744
T502X4A,9744
T507X1A,9701
T507X2A,9701
T507X3A,9701
T507X4A,9701
T507X5A,99529
T507X5S,9095
T5391XA,E8698
T5392XA,E9509
T5393XA,E9622
T5394XA,E9809
T550X1A,E8611
T578X4A,E9809
T602X2A,E9506
T65894A,E9809
T82529A,9961
T829XXA,99674
Y36230A,E9935
Y36230D,E9935
Y36231A,E9935
Y36231D,E9935
Y36260A,E9917
Y36260D,E9917
Y36261A,E9917
Y36261D,E9917
Y36290A,E9938
Y36290D,E9938
Y36291A,E9938
Y36291D,E9938
Y367X0A,E9978
Y367X0D,E9978
Y367X1A,E9979
Y367X1D,E9979
Y37230A,E9935
Y37230D,E9935
Y37231A,E9935
Y37231D,E9935
Y37260A,E9917
Y37260D,E9917
Y37261A,E9917
Y37261D,E9917
Z0289,V705
Z08,V672
Z09,V671
Z112,V748
Z1159,V733
Z116,V753
Z118,V746
Z130,V789
Z13228,V776
Z134,V798
Z135,V803
Z1389,V791
Z1629,V094
Z2089,V0182
Z221,V023
Z3049,V255
Z381,V391
Z3830,V3300
Z3831,V3301
Z384,V321
Z3861,V3600
Z3862,V3601
Z3863,V3600
Z3864,V3601
Z3865,V3600
Z3866,V3601
Z3868,V3600
Z3869,V3601
Z387,V351
Z388,V3501
Z4689,V5399
Z48280,V426
Z531,V642
Z634,V6282
A870,478
B028,538
B03,509
B338,7989
B551,853
B668,1218
B760,1263
C8170,2012
C8171,20121
C8172,20122
C8173,20123
C8174,20124
C8175,20125
C8176,20126
C8177,20127
C8178,20128
C8179,2012
C8339,2007
C8380,2008
C8389,2008
C9590,2089
C9591,20891
C9592,20892
C969,20292
D45,20712
E08311,36201
E08321,36207
E08331,36207
E08341,36207
E08351,36207
E0836,36641
E0840,3572
E0841,3559
E0842,3572
E0843,5363
E0844,3535
E0849,34989
E0852,7854
E08610,7135
E0921,58381
E0922,58381
E0929,58381
E09311,36201
E09321,36207
E09331,36207
E09341,36207
E09351,36207
E0936,36641
E0940,3572
E0941,3559
E0942,3572
E0943,5363
E0944,3535
E0949,34989
E0952,7854
E09610,7135
E10311,36207
E10321,36207
E10331,36207
E10341,36207
E10351,36207
E1040,3572
E1049,34989
E1052,7854
A021,99591
A044,809
A048,841
A078,78
A0839,869
A155,122
A1781,133
A1783,179
A1811,162
A1814,165
A1817,167
A184,171
A1851,173
A1853,173
A1854,173
A1884,179
A1889,179
A202,204
